编号	姓名	单位	投稿题目	研究对象
27	宋露洋	华中农业大学	利用Cas-16S-seq方法减少植物微生物群体研究中大量的宿主污染	植物
28	谢波	华中师范大学	微藻与细菌相互作用的蛋白质组学研究方法	藻类
29	毕玉晶	军事医学研究院	培养组学方法优化	通用
30	周宏伟	南方医科大学	人体生殖道微生物组样本制备	人类
31	周宏伟	南方医科大学	人体胎盘组织微生物组样本制备	人类
32	成艳芬	南京农业大学	反刍动物瘤胃微生物样品采集与保存	动物
33	成艳芬	南京农业大学	瘤胃内容物DNA与RNA提取及注意事项	动物
34	成艳芬	南京农业大学	瘤胃厌氧真菌的分离培养与保存	动物
35	韦中	南京农业大学	根际土壤非破坏性连续采集装置	植物
36	韦中	南京农业大学	根际噬菌体研究方法	植物
37	韦中	南京农业大学	根际原生动物研究方法	植物
38	韦中	南京农业大学	根际合成菌群构建研究方法	植物
39	韦中	南京农业大学	根际微生物铁载体研究方法	植物
40	韦中	南京农业大学	根际细菌群落资源利用网络研究方法	植物
41	韦中	南京农业大学	根际细菌群落拮抗竞争互作研究方法	植物
42	韦中	南京农业大学	根系分泌物调控根际微生物群落研究方法	植物
43	张发明	南京医科大学	从粪便中获取洗涤菌群              	人类
44	张发明	南京医科大学	洗涤菌群移植“一小时方案”          	人类
45	张发明	南京医科大学	洗涤菌群的保存                    	人类
46	张发明	南京医科大学	洗涤上清液小鼠腹腔注射毒性评价    	人类
47	张发明	南京医科大学	移植洗涤菌群                      	人类
48	刘星吟	南京医科大学基础医学院	无菌果蝇的构建方法	动物
49	刘星吟	南京医科大学基础医学院	PM2RA-一种新的量化微生物群落关系变化分析方法	通用
50	刘星吟	南京医科大学基础医学院	果蝇肠道菌群分析方法	动物
51	胡九龙	清华大学	高通量筛选促进CD8+T细胞抗肿瘤免疫的肠道菌群及代谢产物	人类
52	胡九龙	清华大学	高通量筛选调节巨噬细胞极化的肠道菌群及代谢产物	人类
53	胡九龙	清华大学	肿瘤细胞内菌群的分离	人类
54	高峥	山东农业大学	根际微生物组样品收集方法	植物
55	高峥	山东农业大学	尾菜堆肥微生物组样品取样方法	植物
56	肖劲洲	上海海洋大学	海水宏病毒组样本制备	病毒
57	蹇华哗	上海交通大学	海洋微生物的高压培养实验	环境
58	蹇华哗	上海交通大学	流动气液混合高压培养系统操作实验	环境
59	蹇华哗	上海交通大学	沉积物、岩石样品总DNA提取	环境
60	蹇华哗	上海交通大学	沉积物样品细胞提取及荧光显微镜计数法	环境
61	蹇华哗	上海交通大学	沉积物样品RNA提取	环境
62	蹇华哗	上海交通大学	环境样本16s rRNA gene 克隆文库构建及测序分析	环境
63	蹇华哗	上海交通大学	基于基因芯片的原核微生物转录组学分析	环境
64	焦硕	西北农林科技大学	微生物生物地理学研究方法	环境
65	焦硕	西北农林科技大学	微生物群落演替研究方法	环境
66	林雁冰	西北农林科技大学	根际微生物组对向日葵抗列当寄生的研究方法	植物
67	鞠峰	西湖大学	微生物群落定量宏转录组与定量宏基因组方法	环境
68	鞠峰	西湖大学	RNA-稳定同位素探针技术	环境
69	鞠峰	西湖大学	水与沉积物环境中胞内/胞外吸附/胞外游离DNA的分离提取	环境
70	史应武	新疆农业科学院微生物应用研究所	植物内生细菌多样性	植物
71	史应武	新疆农业科学院微生物应用研究所	植物内生真菌多样性	植物
72	史应武	新疆农业科学院微生物应用研究所	植物内生古菌多样性	植物
73	张云增	扬州大学	柑橘根际和根表微生物组样品收集和制备	植物
74	马斌	浙江大学	微生物生态网络构建与可视化	通用
75	马斌	浙江大学	基于宏基因组的宏病毒组分析	通用
76	马斌	浙江大学	基于单细胞培养的土壤微生物原位培养技术	土壤
77	钱旭波	浙江中医药大学附属金华中医院	肠道菌群与幼年特发性关节炎关系研究的样本收集、贮存、多组学检测及数据分析	人类
78	安新丽	中国科学院城市环境研究所	功能基因高通量定量方法	环境
79	杨军	中国科学院城市环境研究所	水体浮游细菌采集	环境
80	杨军	中国科学院城市环境研究所	水体浮游植物采集与鉴定	环境
81	杨军	中国科学院城市环境研究所	水体浮游动物采集与鉴定	环境
82	杨军	中国科学院城市环境研究所	基于DNA条形码的水体浮游细菌群落建库方法	环境
83	杨军	中国科学院城市环境研究所	基于DNA条形码的水体微型真核群落建库方法	环境
84	郑越	中国科学院城市环境研究所	微生物进化特征分析方法	环境
85	薄亭贝	中国科学院动物研究所	肠道组织神经递质测定方法	动物
86	薄亭贝	中国科学院动物研究所	肠黏膜形态学观察和肠道免疫组织化学技术	动物
87	薄亭贝	中国科学院动物研究所	盲肠内容物样本中短链脂肪酸的定量检测（气相色谱）	动物
88	王建军	中国科学院南京地理与湖泊研究所	河流底栖微生物采集和处理	水体
89	王建军	中国科学院南京地理与湖泊研究所	水体沉积物微生物采集和处理	水体
90	褚海燕	中国科学院南京土壤研究所	利用种分布模型绘制微生物分布图谱	土壤
91	褚海燕	中国科学院南京土壤研究所	考萍：土壤代谢组学样品制备与分析	土壤
92	褚海燕	中国科学院南京土壤研究所	云涛：利用种分布模型绘制微生物分布图谱	土壤
93	褚海燕	中国科学院南京土壤研究所	杨腾：结构方程模型在土壤微生物生态学中的运用	土壤
94	褚海燕	中国科学院南京土壤研究所	坤坤：基于高深度土壤宏基因组数据的单菌基因组挖掘	土壤
95	褚海燕	中国科学院南京土壤研究所	玉颖：小麦相关微生物的野外采样与样品保存	土壤
96	褚海燕	中国科学院南京土壤研究所	丽燕：土壤宏转录组学研究的样本前处理与关键代谢差异表征	土壤
97	褚海燕	中国科学院南京土壤研究所	时玉：利用空间尺度分析模型解析土壤微生物分布格局	土壤
98	崔杰	中国科学院上海巴斯德研究所	病毒组与生物信息学分析	动物
99	戴磊	中国科学院深圳先进技术研究院	小鼠粪便样本中短链脂肪酸的定量检测	小鼠
100	戴磊	中国科学院深圳先进技术研究院	小鼠粪便样本中16S拷贝数的定量检测	小鼠
101	邓晔	中国科学院生态环境研究中心	土壤DNA提取方法（高质量eDNA的获取方法Grind plus Mobio kit method）	环境
102	邓晔	中国科学院生态环境研究中心	原核生物的总量测定：16S rRNA基因的荧光定量PCR法	环境
103	邓晔	中国科学院生态环境研究中心	环境细菌总量测定：流式细胞仪法	环境
104	邓晔	中国科学院生态环境研究中心	细胞内融合基因技术（epicPCR）测定功能类群多样性	环境
105	韩丽丽	中国科学院生态环境研究中心	土壤宏病毒组富集及DNA提取	土壤
106	张丽梅	中国科学院生态环境研究中心	熊超:植物微生物组来源模型构建及富集过程分析	植物
107	赵维	中国科学院天津工业生物技术研究所	原核微生物群落变化的随机性和确定性过程计算方法	通用
108	蔡磊/马紫英	中国科学院微生物研究所	基于二代/三代测序的真菌基因组拼接、组装及注释	真菌
109	蔡磊/周欣	中国科学院微生物研究所	基于扩增子数据的系统发育树的构建和美化	通用
110	蔡磊/周欣	中国科学院微生物研究所	真菌可培养组的分离培养和鉴定	真菌
111	白洋	中国科学院遗传与发育生物学研究所	水稻根系微生物组样本和16S rRNA基因扩增子文库制备	植物
112	白洋	中国科学院遗传与发育生物学研究所	水稻高通量分离培养细菌和高通量鉴定	植物
113	白洋	中国科学院遗传与发育生物学研究所	水稻无菌体系构建和单菌及菌群功能研究方法	植物
114	刘永鑫	中国科学院遗传与发育生物学研究所	随机宏基因组测序数据质量控制和去宿主分析流程和常见问题	通用
115	刘永鑫	中国科学院遗传与发育生物学研究所	使用QIIME 2分析微生物组扩增子数据	通用
116	刘永鑫	中国科学院遗传与发育生物学研究所	使用USEARCH/VSEARCH分析微生物组扩增子数据	通用
117	刘永鑫	中国科学院遗传与发育生物学研究所	使用DADA2分析微生物组扩增子数据	通用
118	刘永鑫	中国科学院遗传与发育生物学研究所	基于微生物组特征表的下游分析和可视化软件选择	通用
119	刘永鑫	中国科学院遗传与发育生物学研究所	基于MetaPhlAn3/HUMAnN3的宏基因组有参分析流程	通用
120	刘永鑫	中国科学院遗传与发育生物学研究所	基于MEGAHIT/metaSPAdes的宏基因组组装分析流程	通用
121	刘永鑫	中国科学院遗传与发育生物学研究所	基于metaWRAP的宏基因组分箱分析流程	通用
122	杨文强	中国科学院植物研究所	莱茵衣藻遗传连锁分析方法	藻类
123	袁志林	中国林业科学研究院	野外树木根系取样及根际土收集操作规程	土壤
124	袁志林	中国林业科学研究院	杨树人工林土壤微生物菌体细胞4种提取方法	土壤
125	袁志林	中国林业科学研究院	栎类外生菌根资源调查方法	土壤
126	袁志林	中国林业科学研究院	利用PCR方法快速鉴定产ACC脱氨酶细菌	细菌
127	袁志林	中国林业科学研究院	巢式PCR方法检测树木组织痕量内生真菌的引物及方法	真菌
128	袁志林	中国林业科学研究院	杨树-根系真菌互作体系构建方法	真菌
129	袁志林	中国林业科学研究院	枫香-根系真菌互作体系构建方法	真菌
130	袁志林	中国林业科学研究院	原生质体法制备根系腐生型共生菌（担子菌）单核化菌丝方法	真菌
131	袁志林	中国林业科学研究院	内生镰刀菌基因组染色体水平组装和注释方法	真菌
132	袁志林	中国林业科学研究院	树木共生真菌菌株纯化及快速鉴定方法	真菌
133	袁志林	中国林业科学研究院	植物组织高效表面消毒简易装置	植物
134	戴兆来	中国农业大学	猪肠道微生物样品的采集与核酸提取	动物
135	戴兆来	中国农业大学	猪肠道微生物的体外培养与功能研究	动物
136	戴兆来	中国农业大学	稳定同位素在研究单胃动物肠道微生物功能中的应用	动物
137	彭静静	中国农业大学	土壤宏转录组样本制备	土壤
138	冯固	中国农业大学资源与环境学院	土著菌根真菌对植物磷吸收贡献率的定量方法	菌根真菌
139	冯固	中国农业大学资源与环境学院	定量根际和菌丝际解磷细菌的13C-DNA-SIP法	细菌
140	冯固	中国农业大学资源与环境学院	研究菌根真菌与细菌相互作用的毛根培养体系	细菌
141	韩东飞	中国农业科学院	细菌转录组样本制备	细菌
142	强晓晶	中国农业科学院	内生真菌发酵培养液生长素的测定方法	真菌
143	强晓晶	中国农业科学院	牧草内生真菌的分离、鉴定与保存方法	植物
144	田健	中国农业科学院	水稻根系互作功能微生物的筛选方法	植物
145	赵圣国	中国农业科学院北京畜牧兽医研究所	厌氧微生物培养实验方法	动物
146	赵圣国	中国农业科学院北京畜牧兽医研究所	微生物宏基因组大片段DNA提取方法	动物
147	赵圣国	中国农业科学院北京畜牧兽医研究所	微生物组DNA、RNA和蛋白质共提取实验技术	动物
148	赵圣国	中国农业科学院北京畜牧兽医研究所	微生物宏基因组文库制备与功能基因筛选	动物
149	赵圣国	中国农业科学院北京畜牧兽医研究所	微生物功能基因多样性实验与分析方法	动物
150	赵圣国	中国农业科学院北京畜牧兽医研究所	反刍动物瘤胃微生物组学研究策略	动物
151	陈同	中国中医科学院	ImageGP在微生物组可视化中的应用	通用
152	丁涛	中山大学	人体胃肠胆汁液微生物样本的采集和处理	人类
153	丁涛	中山大学	人体呼吸道微生物样本的采集和处理	人类
